,lhn,body_id,swc_dendr_start,swc_dendr_first_branch,swc_ax_start,swc_ax_first_branch,N_dendr_start_sec,N_dendr_start_seg,N_dendr_first_branch_sec,N_dendr_first_branch_seg,N_extra_dendr_sec_seg,N_ax_start_sec,N_ax_start_seg,N_ax_first_branch_sec,N_ax_first_branch_seg,N_extra_ax_sec_seg,swc_dendr_subarb
0,local2,5813055963,1521,1521,413,481,282,1,282,1,[],113,0.076585551,125,1,[],
1,local2,666450841,3851,3851,366,374,751,1,751,1,[],101,0.078945258,101,1,[],
2,local5,5813105722,545,549,4123,4266,195,0.327443109,196,1,[],996,1,1002,1,[],
3,local5,696126258,5211,5231,531,624,957,0.307709149,967,1,[],174,0.025407322,174,1,[],
4,local6,356467849,1725,1743,357,439,371,0.083159716,371,1,[],56,0.070564251,57,1,[],
5,local6,417186656,1737,1745,241,341,277,0.124895277,277,1,[],20,0.379520545,22,1,[],
6,local6,479917037,280,294,4937,5037,40,1,41,1,[],714,0.02422451,722,1,[],
7,local6,418865948,1594,1635,310,402,308,0.056196647,318,1,[],50,0.191295551,58,1,[],
8,local6,386825553,230,256,3575,3660,13,0.120639253,20,1,[],451,0.062252027,457,1,[],
9,local6,480581806,1953,1989,321,485,366,0.176015985,378,1,[],42,0.476791696,54,1,[],
10,V3,883338122,171,181,4236,4465,8,0.033231078,8,1,[],671,0.089836621,697,1,[],
11,V3,915724147,201,209,6405,6591,21,0.127802597,23,1,[],1155,0.025928933,1161,1,[],
12,V3,789588935,176,180,4385,4576,17,0.187732091,17,1,[],541,0.078657858,549,1,[],
13,V3,917450071,236,247,4773,4999,47,0.269082933,49,1,[],879,0.074721865,893,1,[],
14,L1,454045389,174,192,2964,3160,7,0.092888864,10,1,[],411,0.005518468,413,1,[],
15,L1,483716037,1219,1272,152,343,205,0.357744191,213,1,[],11,0.076958239,12,1,[],
16,L1,575806223,149,175,3333,3517,1,0.126718626,5,1,[],497,0.012425251,501,1,[],
17,L11,360578457,253,257,3911,3935,14,0.222724842,14,1,"[(1145, 0.1192975782426463), (1133, 0.28236372044885794)]",602,0.312968303,605,1,[],
18,L11,297921527,2635,2655,223,249,309,0.422774721,313,1,"[(540, 0.05490709933935632), (514, 0.3241372006742009), (292, 0.13321925590986883)]",20,0.480618532,24,1,[],
19,L11,329211098,4066,4071,971,993,506,1,508,1,"[(20, 0.08531455925882624), (841, 0.15494608929863646)]",132,0.104838896,134,1,[],
20,L12,5813077898,189,206,2685,2890,6,0.194013998,7,1,[],423,0.054736536,429,1,[],
21,L12,579562628,1401,1414,208,396,221,1,228,1,[],16,1,24,1,[],
22,L12,5813129316,249,273,3209,3447,7,0.029417702,8,1,[],490,0.006555157,491,1,[],
23,L12,603681826,184,186,3375,3564,15,0.267994327,15,1,"[(678, 0.18701225632916071), (677, 0.16866412082749505), (463, 0.06893510704316269), (672, 0.26726912128435093)]",466,0.110452933,468,1,[],
24,L12,391609333,196,198,2468,2648,5,0.42311939,5,1,"[(472, 0.1696200598624751), (497, 0.09558870132384094), (500, 0.11871437771151715), (501, 0.23295107906797946)]",317,0.037607567,319,1,[],
25,L12,392640591,204,215,3123,3380,3,0.177157693,4,1,[],428,1,444,1,[],
26,L12,574011220,286,331,3037,3177,29,1,37,1,[],544,0.009989442,544,1,[],
27,L12,421957711,1586,1593,165,352,248,1,250,1,"[(528, 0.08713392661121074), (555, 0.3104118907979634), (241, 0.37034837943306587), (240, 0.1712995088316493)]",8,0.35721873,12,1,[],
28,L12,5813009995,1701,1713,201,373,251,0.118192803,253,1,"[(557, 0.06218743092297811), (458, 0.48074563781837537)]",6,0.115692773,12,1,[],
29,L12,668144344,180,185,3349,3527,8,0.34741907,9,1,"[(632, 0.12289276192090873), (631, 0.11535098667885277)]",425,0.022190978,430,1,[],
30,L15,5813009429,356,404,2679,2857,18,0.011596839,19,1,[],255,0.014177749,255,1,[],
31,L15,422307542,337,394,2559,2758,0,0.5,5,1,[],0,0.5,268,1,[],
32,ML3,574040939,241,248,3876,4086,22,0.24550939,24,1,"[(14, 0.07894879732084997)]",377,0.365819147,379,1,[],
33,ML3,5813052205,1328,1333,148,394,162,0.143367596,162,1,"[(688, 0.38046579970208644)]",2,0.171294492,7,1,[],
34,ML3,483017681,195,212,4583,4802,4,0.089824483,5,1,[],560,0.005156999,562,1,[],
35,ML3,573683438,285,297,6477,6701,34,0.267318651,39,1,"[(26, 0.13510710334413015), (4, 0.10315271917004783)]",679,0.005906535,679,1,[],
36,ML3,543321179,259,268,4859,5114,9,0.080428055,9,1,"[(619, 0.13034527910237498), (1, 1.0)]",444,1,447,1,[],
37,ML3,5813022459,157,160,4603,4878,8,0.289424117,8,1,[],513,1,515,1,"[(659, 0.6182239166342912), (658, 0.15380871827439108)]",
38,ML3,824349873,1215,1217,122,355,96,0.289951582,96,1,[],5,0.007884744,6,1,[],
39,ML8,571666400,1970,1970,215,308,226,1,226,1,[],5,0.0108481,5,1,[],
40,ML8,509928512,148,183,2903,3170,8,0.208555611,13,1,"[(596, 0.21807861675142934)]",279,0.224324026,293,1,"[(280, 0.022699690481388864)]",
41,ML8,5813089504,216,270,4667,4752,17,0.203932407,24,1,"[(384, 0.5055295509490058)]",491,0.028440192,493,1,[],
42,ML8,548872750,244,298,4336,4416,7,0.066558826,10,1,"[(298, 0.06082985857499715), (380, 0.16792901468604696)]",431,0.3171588,435,1,[],
43,ML9,573337611,178,194,5393,5502,5,0.157425068,7,1,[],616,0.011485599,618,1,[],
44,ML9,573329304,222,236,5660,5749,6,1,11,1,[],641,0.015611257,641,1,[],
45,ML9,542634516,212,238,4885,4981,1,0.659450881,5,1,[],569,0.013776715,569,1,[],
46,ML9,571666434,208,216,3634,3731,9,0.380118668,11,1,[],376,0.012153025,376,1,[],
47,ML9,640963556,187,189,2262,2351,7,0.434498519,7,1,"[(408, 0.05710944325396861)]",212,0.021728443,213,1,[],
48,L13,793702856,208,212,2730,2839,15,1,18,1,[],489,0.013138356,489,1,[],
49,L13,665747387,219,232,2338,2437,9,0.06358982,11,1,[],437,1,443,1,[],
50,V2,1037510115,200,211,3508,3704,39,0.147517496,43,1,[],716,0.772269089,748,1,[],
51,V2,5813016204,309,313,3366,3598,39,0.086977351,39,1,[],584,1,616,1,[],
52,V2,852302504,222,230,4035,4168,42,0.079443799,42,1,[],782,0.385975368,788,1,[],
53,V2,851961337,1280,1284,239,381,345,0.279053312,345,1,[],39,0.018860894,55,1,[],
54,LHLN,699515201,1125,1138,226,353,213,0.386040669,215,1,"[(1071, 0.5743217202122964)]",14,0.024003158,26,1,[],
55,LHLN,604031105,1134,1181,243,410,146,0.05957611,147,1,[],7,0.303022598,13,1,[],
56,LHLN,794337453,1322,1349,244,336,155,0.288744299,161,1,[],19,1,22,1,[],
57,LHLN,5813035204,1389,1538,286,458,228,0.129191331,250,1,[],9,0.066074393,15,1,[],
58,LHLN,852976677,2479,2487,290,378,358,1,361,1,[],13,0.056919474,17,1,[],
59,LHLN,5901193783,1470,1478,304,446,305,0.246853218,305,1,[],26,0.020857524,40,1,[],
60,LHLN,823999989,320,352,4703,4849,37,0.307219764,43,1,[],770,0.057591041,772,1,[],
61,LHLN,761252954,1600,1676,326,453,198,0.014212638,198,1,[],4,0.009810329,4,1,[],
62,LHLN,790918098,1760,1766,383,571,262,0.167703218,262,1,[],19,0.161979307,31,1,[],
63,LHLN,944371051,1893,1941,418,532,205,0.015787111,205,1,[],5,0.011588632,6,1,[],
64,LHLN,729527582,396,446,1719,1889,24,0.025392069,26,1,[],241,0.111992437,243,1,[],
65,LHLN,512981720,285,289,1734,1964,4,0.257872422,4,1,[],222,0.012570602,226,1,[],
66,LHLN,852293337,364,416,1775,1974,15,0.012387759,15,1,[],196,0.007960134,198,0.862176237,[],
67,LHLN,761247578,412,459,1826,2104,5,0.030359934,5,1,[],154,0.002943419,154,1,[],
68,LHLN,791946438,451,531,1846,2091,28,0.021125071,30,1,[],214,0.003161717,214,1,[],
69,LHLN,821946760,422,468,1953,2170,15,0.017173592,15,1,[],252,0.006254286,252,1,[],
70,LHLN,791946302,352,425,2109,2324,20,0.014705501,22,1,[],258,0.004531867,258,1,[],
71,LHLN,761593520,365,441,2133,2260,10,0.010759658,10,1,[],253,0.090973039,255,1,[],
72,LHLN,821987663,703,713,2175,2386,21,0.053873288,21,1,[],210,0.012105889,220,1,[],
73,LHLN,730563850,274,283,2230,2335,20,0.121446305,20,1,[],332,0.090278736,335,1,[],
74,LHLN,731922839,419,464,2468,2641,10,0.062068952,12,1,[],267,0.010491657,269,1,[],
75,LHLN,760541793,357,393,2912,3105,33,0.238762631,35,1,[],511,0.005822649,513,1,[],
76,LHLN,636434899,216,232,3026,3184,8,0.387451968,11,1,[],518,0.011311452,526,1,[],
77,LHLN,820581199,303,327,3087,3285,11,0.028835181,13,1,[],382,0.021680471,387,1,[],
78,LHLN,729211483,263,277,3375,3534,20,0.110420445,22,1,[],529,0.016745988,534,1,[],
79,LHLN,851317951,292,367,3536,3653,13,0.028319378,17,1,[],557,0.011529084,559,1,[],
80,LHLN,5813010845,286,314,3596,3820,11,0.416974289,15,1,[],472,0.040194422,486,1,[],
81,LHLN,944729312,331,339,3933,4046,13,0.33797837,14,1,[],664,0.056202798,666,1,[],
82,LHLN,634712940,295,296,3980,4027,21,0.385240267,21,1,[],732,0.105344051,743,1,[],
83,LHLN,698194389,281,300,4006,4163,12,0.12090225,13,1,[],636,0.01693696,639,1,[],
84,LHLN,883031393,292,298,4037,4196,27,0.116843976,27,1,[],682,0.04602056,690,1,[],
85,LHLN,789580340,285,302,4091,4342,23,0.053336782,23,1,[],551,0.007540712,563,1,[],
86,LHLN,975432645,332,708,4149,4270,14,0.453231188,58,1,[],580,0.010415885,582,1,[],
87,LHLN,881991445,267,338,4266,4368,18,0.543776353,29,1,[],718,0.0223489,720,1,[],
88,LHLN,917086906,339,363,4276,4494,53,0.033008195,55,1,[],789,0.039756025,794,1,[],
89,LHLN,760566169,332,386,4392,4682,12,0.019935068,14,1,[],644,0.007616132,652,1,[],
90,LHLN,823668338,293,298,4636,4841,19,0.109009956,19,1,[],913,0.666671577,920,1,[],
91,LHLN,760569606,309,315,5078,5198,42,1,45,1,[],824,0.029349426,834,1,[],
92,LHLN,790918133,306,326,5323,5534,6,0.185495482,9,1,[],756,0.123851314,763,1,[],
93,LHLN,696772937,286,289,5326,5446,32,0.243751816,32,1,[],946,0.084811089,949,1,[],
94,LHLN,822289778,386,397,6003,6156,104,1,108,1,[],1463,0.059631106,1468,1,[],
